domain,level,english,chinese,from_choe,nChar,Kup_AoA,Kup_SD,Kup_found,Xu_AoA,Xu_found,n_utt_Mandarin,quantifier_p,whNP_p,anchor_p,another_p,labelling_p,definite_p,crit_index,freq_Mandarin,log_freq_Mandarin,log_freq_English,is_compound_cn
furniture,Basic,table,桌子,False,2,4.39,2.12,True,6.941176470588236,True,,,,,,,,,,0.0,2.0278690271535442,1
furniture,Basic,chair,椅子,False,2,3.43,1.33,True,6.619047619047619,True,,,,,,,,,,0.0,1.7010089493107314,1
furniture,Basic,sofa,沙发,False,2,4.5,2.01,True,9.454545454545457,True,,,,,,,,,,0.0,0.8364978682523395,1
furniture,Basic,bed,床,False,1,2.89,1.41,True,,False,,,,,,,,,,0.0,2.274429538031943,0
appliance,Basic,refrigerator,冰箱,False,2,4.11,1.15,True,9.954545454545457,True,,,,,,,,,,0.0,0.9718577205141824,1
appliance,Basic,television,电视,False,2,4.11,1.76,True,7.318181818181818,True,,,,,,,,,,0.0,1.5428498262109573,1
appliance,Basic,washer,洗衣机,False,3,6.32,3.07,True,11.0,True,,,,,,,,,,0.0,0.4827615220723552,1
stationery,Basic,pencil,铅笔,False,2,4.06,1.8,True,6.5,True,,,,,,,,,,0.0,1.0359395886304936,1
stationery,Basic,pen,钢笔,False,2,5.11,1.29,True,7.84,True,,,,,,,,,,0.0,1.4103636589417046,1
stationery,Basic,eraser,橡皮,False,2,4.95,1.22,True,6.826086956521739,True,,,,,,,,,,0.0,0.3010299956639812,1
stationery,Basic,ruler,尺子,False,2,5.94,1.55,True,,False,,,,,,,,,,0.0,0.6208094273408009,1
clothing,Basic,shirt,衬衫,False,2,3.53,1.12,True,8.782608695652174,True,,,,,,,,,,0.0,1.6755267538511576,1
clothing,Basic,pants,裤子,False,2,3.2271,1.75,True,5.631578947368421,True,,,,,,,,,,0.0,1.7763022781247373,1
clothing,Basic,skirt,裙子,False,2,5.67,2.57,True,6.4375,True,,,,,,,,,,0.0,1.0398416317884869,1
clothing,Basic,coat,外套,False,2,3.58,1.22,True,7.318181818181818,True,,,,,,,,,,0.0,1.6342598808225737,1
instrument,Basic,piano,钢琴,False,2,5.5,2.04,True,12.0,True,,,,,,,,,,0.0,1.4126746194484285,1
instrument,Basic,violin,小提琴,False,3,7.45,2.19,True,11.185185185185183,True,,,,,,,,,,0.0,0.7592974442561734,1
instrument,Basic,guitar,吉他,False,2,5.32,1.2,True,10.95,True,,,,,,,,,,0.0,1.219800186941086,1
instrument,Basic,drum,鼓,False,1,4.63,2.19,True,,False,,,,,,,,,,0.0,0.9763769546535759,0
beverage,Basic,milk,牛奶,False,2,3.37,1.42,True,7.31578947,True,,,,,,,,,,0.0,1.6387827983527024,1
beverage,Basic,coffee,咖啡,False,2,4.94,1.73,True,10.421052631578949,True,,,,,,,,,,0.0,2.162950773914828,1
beverage,Basic,juice,果汁,False,2,4.4,2.21,True,9.72222222222222,True,,,,,,,,,,0.0,1.4453294202958116,1
beverage,Basic,tea,茶,False,1,5.47,2.39,True,,False,,,,,,,,,,0.0,1.775446244046196,0
flower,Basic,rose,玫瑰,False,2,6.11,2.33,True,7.318181818181818,True,,,,,,,,,,0.0,1.7325514270898679,1
flower,Basic,chrysanthemum,菊花,False,2,8.47,2.58,True,7.7,True,,,,,,,,,,0.0,0.09177037335564536,1
flower,Basic,peony,牡丹,False,2,12.27,4.76,True,7.571428571428571,True,,,,,,,,,,0.0,0.016705693502852715,1
food,Basic,rice,米饭,False,2,3.72,1.41,True,5.0,True,,,,,,,,,,0.0,1.2062436762857798,1
food,Basic,noodles,面条,False,2,5.297516,2.63,True,6.411764705882353,True,,,,,,,,,,0.0,0.8487323246693507,1
food,Basic,bread,面包,False,2,3.58,1.61,True,6.8,True,,,,,,,,,,0.0,1.4673614174305056,1
