context,beta,se_cluster,OR,lo_OR,hi_OR,z,p,type
quantifier,1.0524961703361104,0.3499484672591198,2.864793212248395,1.442816598731794,5.688207465978903,3.007574739731002,0.0026334136064898317,critical
whNP,0.726771138132201,0.31323548131524953,2.068391264321902,1.1194411580489552,3.821766237163901,2.3202069416930353,0.02032968526539025,critical
anchor,1.5297381808132802,0.5592100459234539,4.6169678532725875,1.542935067948852,13.815482323886831,2.7355341556626374,0.0062279122666024644,critical
another,2.097955930976095,0.316659547641305,8.149494746007184,4.381114822114541,15.159215704632894,6.625272936196282,3.466071873958754e-11,critical
labelling,0.37061095531689797,0.10971821065157578,1.4486193860739878,1.1683158442401964,1.7961736426455095,3.3778435969378,0.0007305661985743672,control
definite,0.23679775704845593,0.30149894992447984,1.2671848126615415,0.7017765820472203,2.288131850674977,0.7854015979417825,0.4322181441720945,control
