,coef,se,t,p,R2,R2_adj,AIC
(Intercept),7.917157293805968,0.2218357001480968,35.689283954388316,0.0,0.003134214265125501,-0.005687606847572413,445.66306489374284
crit_index,2.943147227320433,4.937723711488347,0.5960534447224667,0.552331617819575,0.003134214265125501,-0.005687606847572413,445.66306489374284
