cue,coef,se_cr,OR,z,p
intercept,-3.699274528543037,0.6389941837128955,0.02474146919078792,-5.78921471092004,7.071625507393264e-09
quantifier,6.248150300639518,8.021077893633548,517.0555422930662,0.7789664161719175,0.43599949820332373
whNP,8.793050748780397,2.700331886683633,6588.300798363916,3.2562851966983337,0.0011288030565479445
anchor,14.013227193366372,9.704732035724394,1218617.0319670325,1.4439581785238214,0.14875073977359787
another,113.89517604451119,31.114114667796386,2.9110285950083246e+49,3.6605629715183428,0.000251661692316274
