,coef,se,t,p,R2,R2_adj,AIC
(Intercept),9.695506925231923,0.37753646439511085,25.680981413983602,0.0,0.2167669427667135,0.20278063817326186,419.9266927708055
crit_index,5.839336498315773,4.427385880880263,1.318912933144825,0.18988857525749347,0.2167669427667135,0.20278063817326186,419.9266927708055
log_freq_cn,-1.1723908734970336,0.21211678227784056,-5.527100971960723,2.148234536925031e-07,0.2167669427667135,0.20278063817326186,419.9266927708055
