context,s_n,s_N,b_n,b_N,s_p,b_p,OR,lo,hi,chi2,p,type
quantifier,129,2015,215,9220,0.06401985111662531,0.023318872017353578,2.8647932131495226,2.2902035951541055,3.5835417302955204,92.29168201578015,7.479802490766098e-22,critical
whNP,408,2015,1008,9220,0.20248138957816378,0.10932754880694143,2.0683912644086884,1.8220166280845325,2.3480808883615105,130.27169574514693,3.573581098953305e-30,critical
anchor,23,2015,23,9220,0.01141439205955335,0.002494577006507592,4.616967871485944,2.5850363589351604,8.246070602702925,32.265740900955514,1.3446334367923215e-08,critical
another,59,2015,34,9220,0.029280397022332507,0.00368763557483731,8.149494767232046,5.328788094496196,12.463296303663872,131.93719381756569,1.5442844768506185e-30,critical
labelling,123,2015,396,9220,0.06104218362282878,0.04295010845986985,1.4486193862515215,1.1761964571227113,1.784139132128674,12.284450995234138,0.00045674774098731005,control
definite,151,2015,554,9220,0.0749379652605459,0.06008676789587852,1.267184812754683,1.0513099516965414,1.5273871868946407,6.201325099107214,0.012765470738634634,control
